"","nbsp.w","FRic.w","FEve.w","FDiv.w"
"01_1_BERD_l",1,NA,NA,NA
"01_2_BERD_l",3,0.408489421457926,0.837284600598671,0.754800839941556
"01_BEUA_l",9,3.08570329089825,0.738539927021728,0.722498736131524
"01_BEUB_l",5,2.77300126658922,0.686065198594514,0.764209060241123
"01_BEUC_l",9,4.63913172539698,0.35702188868543,0.892180803283453
"01_BSRD_l",3,0.785816349663229,0.0195539732375749,0.969155891430607
"01_BSRE_l",8,3.87185044681909,0.657223803575611,0.846660098644142
"01_BSRF_l",2,NA,NA,NA
"01_BSUA_l",3,0.129931501219338,0.840127087356472,0.295673956357097
"01_BSUB_l",5,0.796816299360585,0.0469841100818117,0.886193742415727
"01_BSUC_l",7,1.51285185901469,0.456362944361054,0.757236252615627
"01_ZHRD_l",2,NA,NA,NA
"01_ZHRE_l",4,0.796816299360585,0.706326053503404,0.781817147191631
"01_ZHRF_l",3,0.796816299360585,0.270513573609419,0.926621481986097
"01_ZHUA_l",9,3.34174730204731,0.633882822865895,0.917083064857634
"01_ZHUB_l",15,7.77350710781927,0.408427521760746,0.732070853309748
"01_ZHUC_l",4,0.666007350106831,0.133982317031741,0.671698808328204
"02_1_BERD_l",2,NA,NA,NA
"02_2_BERD_l",2,NA,NA,NA
"02_BEUA_l",4,0.761012771950952,0.0904033970424375,0.993556160951419
"02_BEUB_l",11,6.42892359966031,0.481863932699202,0.543592870466992
"02_BEUC_l",9,1.88180602142878,0.509292595273484,0.884124373737361
"02_BSRD_l",2,NA,NA,NA
"02_BSRE_l",5,0.796816299360585,0.669131246953421,0.434654691699686
"02_BSRF_l",3,0.0676098783022764,0.754978650785194,0.0685337749015891
"02_BSUA_l",5,0.775775880496429,0.377821021953958,0.627924401819697
"02_BSUB_l",4,0.796816299360585,0.124614463138381,0.747550300713093
"02_BSUC_l",11,4.98639283733384,0.520387843567815,0.64882564743097
"02_ZHRD_l",6,1.65871060454279,0.547710568631054,0.9556012948565
"02_ZHRE_l",3,0.796816299360585,0.877465521322327,0.345187242084683
"02_ZHRF_l",6,1.58018868185168,0.705899418802491,0.788302151252147
"02_ZHUA_l",2,NA,NA,NA
"02_ZHUB_l",4,0.681525718736271,0.0167476753956353,0.858481167531813
"02_ZHUC_l",2,NA,NA,NA
"03_1_BERD_l",3,0.00260619481108471,0.0355387046037465,0.965868737320163
"03_2_BERD_l",1,NA,NA,NA
"03_BEUA_l",1,NA,NA,NA
"03_BEUB_l",6,2.07455654550925,0.276351432453892,0.863956962440237
"03_BEUC_l",6,1.85372064043524,0.171673610991837,0.529716209728889
"03_BSRD_l",2,NA,NA,NA
"03_BSRE_l",3,0.796816299360585,0.995117778864056,0.526002631735833
"03_BSRF_l",2,NA,NA,NA
"03_BSUA_l",4,0.419455113327044,0.603895029321472,0.606505087930206
"03_BSUB_l",3,0.00260619481108471,0.653188820075478,0.252249642929375
"03_BSUC_l",11,3.64145490916394,0.571717993426594,0.513587983266071
"03_ZHRD_l",8,5.64715257857599,0.45326317465774,0.547966648408401
"03_ZHRE_l",4,1.54117553672848,0.488998073666189,0.961535724369297
"03_ZHRF_l",1,NA,NA,NA
"03_ZHUA_l",6,1.0230537744019,0.577918946525814,0.641621525171899
"03_ZHUB_l",4,2.37155119803042,0.235002547655437,0.49042005565102
"03_ZHUC_l",8,1.01662413557916,0.575238921259951,0.654841763359079
"04_1_BERD_l",3,0.816347589597472,0.494251892409408,0.874730190927423
"04_2_BERD_l",2,NA,NA,NA
"04_BEUB_l",1,NA,NA,NA
"04_BEUC_l",6,3.71440443299348,0.519616675167309,0.913462091084192
"04_BSRD_l",3,0.00260619481108471,0.0163945178284644,0.987334062243289
"04_BSRE_l",2,NA,NA,NA
"04_BSRF_l",4,0.796816299360585,0.148003267618547,0.370151090447894
"04_BSUA_l",4,0.419455113327044,0.786827295208501,0.805031295683077
"04_BSUB_l",8,2.59424843320622,0.492276231986783,0.545982708899586
"04_BSUC_l",8,10.3843758361672,0.373489186887371,0.805161410164825
"04_ZHRD_l",7,2.65471344665219,0.281345787892755,0.811749282738355
"04_ZHRE_l",7,1.14251568748449,0.481827078269369,0.810641320836
"04_ZHRF_l",2,NA,NA,NA
"04_ZHUA_l",8,1.74178507741741,0.48694398957921,0.755543291375271
"04_ZHUB_l",8,1.97346143325216,0.43657324661904,0.372890145925304
"04_ZHUC_l",8,5.63702072426788,0.501576421201154,0.468254709684288
"05_1_BERD_l",2,NA,NA,NA
"05_2_BERD_l",5,1.57807277813978,0.723057516217911,0.841404716865407
"05_BEUB_l",9,6.4765862267395,0.415465282960133,0.442768449903551
"05_BEUC_l",9,5.58362489674977,0.4278056227725,0.880805541222896
"05_BSRD_l",1,NA,NA,NA
"05_BSRE_l",3,0.395324336717666,0.155988213526681,0.97932792008805
"05_BSRF_l",2,NA,NA,NA
"05_BSUA_l",4,0.419455113327044,0.237129946853706,0.567045187036087
"05_BSUB_l",4,0.395324336717666,0.0726988793382314,0.513427395058147
"05_BSUC_l",4,0.395324336717666,0.235672369816318,0.524457500513855
"05_ZHRD_l",1,NA,NA,NA
"05_ZHRE_l",2,NA,NA,NA
"05_ZHRF_l",2,NA,NA,NA
"05_ZHUA_l",10,2.32126404284913,0.60386426431932,0.784499418704326
"05_ZHUB_l",11,4.0571303473172,0.37941411387112,0.448670134051431
"05_ZHUC_l",16,5.84762599997913,0.342643059243497,0.561222701699549
"06_BERD_l",2,NA,NA,NA
"06_BEUB_l",3,0.395324336717666,0.702743024487247,0.991728178301332
"06_BEUC_l",8,4.11247703137982,0.563342756281787,0.963012502712149
"06_BSRD_l",8,6.1984943666998,0.405014748184158,0.891591443489986
"06_BSRE_l",4,0.796816299360585,0.874317458472073,0.865296830817888
"06_BSRF_l",1,NA,NA,NA
"06_BSUA_l",9,8.05105633899111,0.363928348485374,0.73638964420858
"06_BSUB_l",4,0.395324336717666,0.0272597244178178,0.507375542346461
"06_BSUC_l",6,2.44193431779863,0.0930591873130094,0.580985143385129
"06_ZHRD_l",4,0.801922447865039,0.634724848091129,0.542550097261821
"06_ZHRE_l",8,1.54830409460986,0.459068039665776,0.570556593968182
"06_ZHRF_l",3,0.796816299360585,0.466566482678117,0.744424563283733
"06_ZHUA_l",6,4.68049675708624,0.611454093567458,0.467962670896054
"06_ZHUB_l",10,7.58651161030323,0.213757189550631,0.642101208072203
"06_ZHUC_l",7,0.743181687223907,0.419066668477942,0.306088070738754
"07_BERD_l",2,NA,NA,NA
"07_BEUB_l",5,0.395324336717666,0.667604126392365,0.823464014200454
"07_BEUC_l",11,2.76130801033787,0.631160417784003,0.768678314125328
"07_BSRD_l",2,NA,NA,NA
"07_BSRE_l",1,NA,NA,NA
"07_BSRF_l",1,NA,NA,NA
"07_BSUA_l",4,0.26236739921145,0.891188255995121,0.509990789161504
"07_BSUB_l",8,4.6793359545076,0.440344923076913,0.665178874780686
"07_BSUC_l",3,0.262786640687243,0.332063765489508,0.922964973991699
"07_ZHRD_l",6,3.08137013074549,0.662796177092257,0.390024269564234
"07_ZHRE_l",10,3.59071110277404,0.534638553035338,0.6058288212261
"07_ZHRF_l",3,0.796816299360585,0.100024203913349,0.978189888692235
"07_ZHUA_l",7,5.00365269482424,0.790739586464931,0.603566562110683
"07_ZHUB_l",5,2.10138442699698,0.396277958811939,0.532521823435048
"07_ZHUC_l",4,0.732910983072081,0.223510532098579,0.212592254888182
"08_BERD_l",2,NA,NA,NA
"08_BEUB_l",7,3.54219447857142,0.147113216940314,0.576742095656687
"08_BEUC_l",3,0.827373170250332,0.386554225830047,0.973951541824795
"08_BSRD_l",1,NA,NA,NA
"08_BSRE_l",4,0.796816299360585,0.193136352205397,0.641285365537273
"08_BSRF_l",2,NA,NA,NA
"08_BSUA_l",6,1.80721738074706,0.469366956554955,0.809803797523073
"08_BSUB_l",3,0.129931501219338,0.818399484432522,0.267406241641458
"08_BSUC_l",2,NA,NA,NA
"08_ZHRD_l",9,7.95463627450072,0.508650538583296,0.576726945180976
"08_ZHRE_l",10,1.95457507002657,0.307632868668707,0.628522229949553
"08_ZHRF_l",4,0.925439969750688,0.464628757637504,0.961457599414582
"08_ZHUA_l",4,0.759732000080113,0.794712080073934,0.438935297550743
"08_ZHUB_l",1,NA,NA,NA
"08_ZHUC_l",3,0.129931501219338,0.892642087260353,0.354616101990566
"09_BERD_l",2,NA,NA,NA
"09_BEUB_l",2,NA,NA,NA
"09_BEUC_l",6,3.30078253602895,0.133774958715649,0.53679124068407
"09_BSRD_l",1,NA,NA,NA
"09_BSRE_l",5,0.796816299360585,0.412135594662308,0.708215860261152
"09_BSRF_l",2,NA,NA,NA
"09_BSUA_l",8,6.68163327594841,0.287444082958963,0.510723271335503
"09_BSUB_l",5,1.31748062083639,0.260719297226212,0.959715232906359
"09_BSUC_l",2,NA,NA,NA
"09_ZHRD_l",6,1.5380576322173,0.604118975474252,0.505324092417034
"09_ZHRE_l",8,1.96355924914809,0.293131054622518,0.721853060454493
"09_ZHRF_l",2,NA,NA,NA
"09_ZHUA_l",6,1.18335191852546,0.734210196403637,0.679084246755904
"09_ZHUB_l",8,1.3280139040342,0.585249452821922,0.62160478794504
"09_ZHUC_l",8,2.87207078320963,0.264480842639582,0.585603222012348
"10_BERD_l",3,0.761012771950952,0.0671785635764706,0.840467016349049
"10_BEUB_l",5,0.796816299360585,0.675860303675117,0.572474707514242
"10_BEUC_l",7,3.66939344832042,0.340033850880188,0.537769980238623
"10_BSRD_l",2,NA,NA,NA
"10_BSRE_l",5,0.796816299360585,0.453720276062024,0.553752733440533
"10_BSRF_l",2,NA,NA,NA
"10_BSUA_l",2,NA,NA,NA
"10_BSUB_l",5,1.17587204040043,0.311757074240782,0.932032333131183
"10_BSUC_l",1,NA,NA,NA
"10_ZHRD_l",2,NA,NA,NA
"10_ZHRE_l",8,1.57807277813978,0.495652480809967,0.961790052031681
"10_ZHRF_l",3,0.796816299360585,0.129569512803771,0.977988873330866
"10_ZHUA_l",15,27.5024665908057,0.471308461423246,0.796505305126641
"10_ZHUB_l",5,0.553351420169264,0.4777224232109,0.290167143230623
"10_ZHUC_l",4,1.66664577780785,0.0293102170840426,0.607236419966765
"11_BERD_l",3,0.408489421457926,0.652432623190059,0.308066676559827
"11_BEUB_lB_E",6,1.55203214538,0.170089518706498,0.680760013998493
"11_BEUB_lB_F",2,NA,NA,NA
"11_BEUC_l",9,2.86281444157956,0.564755150306967,0.813591163531337
"11_BSRD_l",1,NA,NA,NA
"11_BSRE_l",5,0.796816299360585,0.562384526527232,0.719931699021078
"11_BSRF_l",2,NA,NA,NA
"11_BSUA_l",5,0.396943456791935,0.493373262632603,0.867265070694999
"11_BSUB_l",7,1.6948093324601,0.19132904900017,0.511868719755307
"11_BSUC_l",10,3.78115105864117,0.547476317816759,0.634481206542135
"11_ZHRD_l",7,1.66081583122713,0.277909997204344,0.389100123344863
"11_ZHRE_l",4,0.785816349663229,0.150242112843015,0.90154784433503
"11_ZHRF_l",7,0.925439969750688,0.564271214374718,0.795792021707373
"11_ZHUA_l",15,5.4150128736822,0.633729417328935,0.856006209163468
"11_ZHUB_l",1,NA,NA,NA
"11_ZHUC_l",1,NA,NA,NA
"12_BERD_l",2,NA,NA,NA
"12_BEUB_l",11,3.86579206331271,0.295041676716956,0.851855769586997
"12_BEUC_l",7,2.23619802288723,0.569848703993709,0.812465797362361
"12_BSRD_l",2,NA,NA,NA
"12_BSRE_l",5,4.76953922217708,0.553528952242812,0.712922729973089
"12_BSRF_l",8,3.76972023930222,0.400987447038097,0.449682483184997
"12_BSUA_l",3,0.129931501219338,0.813690337663955,0.28572302000242
"12_BSUB_l",10,3.3783508909637,0.49008645898708,0.553652293794266
"12_BSUC_l",4,0.630964176810483,0.437997520696705,0.890453284112633
"12_ZHRD_l",2,NA,NA,NA
"12_ZHRE_l",7,1.57807277813978,0.4153581435256,0.978205989687525
"12_ZHRF_l",2,NA,NA,NA
"12_ZHUA_l",7,4.68049675708624,0.520812466904396,0.679900893481417
"12_ZHUB_l",7,1.35890977590069,0.596980693559043,0.975598919160611
"12_ZHUC_l",2,NA,NA,NA
"13_BERD_l",2,NA,NA,NA
"13_BEUB_l",5,0.796816299360585,0.46586868897697,0.579607375779656
"13_BEUC_l",4,1.00546771500872,0.0909392916277072,0.39458544984799
"13_BSRD_l",1,NA,NA,NA
"13_BSRE_l",3,0.395324336717666,0.619839076136194,0.958207948303068
"13_BSRF_l",6,2.14443763790149,0.209577840278552,0.642846219578366
"13_BSUA_l",5,2.3089103923703,0.430612138088879,0.64584134590502
"13_BSUB_l",8,3.86874237669314,0.412561190014152,0.710848240060803
"13_BSUC_l",7,3.35499958117878,0.491851488081436,0.887488794861785
"13_ZHRD_l",5,1.54599107914112,0.084886579761297,0.662992783279555
"13_ZHRE_l",10,1.57807277813978,0.495023574035558,0.892387191540835
"13_ZHRF_l",3,0.796816299360585,0.0594545384032801,0.980046846925858
"13_ZHUA_l",10,3.99833768573016,0.374908347749413,0.823004683942622
"13_ZHUB_l",4,0.71987811351349,0.0645649836718093,0.829055418216698
"13_ZHUC_l",1,NA,NA,NA
"14_BERD_l",2,NA,NA,NA
"14_BEUB_l",2,NA,NA,NA
"14_BEUC_l",7,2.23619802288723,0.427975297156672,0.966732223487506
"14_BSRD_l",2,NA,NA,NA
"14_BSRE_l",5,0.397368401370152,0.466402959031966,0.646392743206197
"14_BSRF_l",5,0.0960275208094194,0.217848670375754,0.986499162772363
"14_BSUA_l",4,0.39038568919931,0.562502537487075,0.959496077048037
"14_BSUB_l",9,1.37125094767767,0.588736464810903,0.736282628679361
"14_BSUC_l",4,0.550925010854847,0.553190533046027,0.961307351473804
"14_ZHRD_l",1,NA,NA,NA
"14_ZHRE_l",5,0.792791217433565,0.458874129454368,0.935185468950277
"14_ZHRF_l",3,0.773908982755979,0.0382053793054316,0.982936580013559
"14_ZHUA_l",11,6.16176508909585,0.453205223675479,0.736436152664154
"14_ZHUB_l",12,4.09021401678465,0.399617281730997,0.88413699395843
"14_ZHUC_l",2,NA,NA,NA
"15_BERD_l",1,NA,NA,NA
"15_BEUB_l",4,0.796816299360585,0.635076709464068,0.814549061597333
"15_BEUC_l",9,1.57065114291936,0.571075660572565,0.756609782274455
